cat,cid
business_and_politics,financial_companies
business_and_politics,governmental_bodies
business_and_politics,politicians
entertainment,childrens_tv_programs
entertainment,musicians
entertainment,people
entertainment,reality_shows
entertainment,songs
entertainment,teen_pop_artists
entertainment,tv_shows
lifestyle,actors
lifestyle,fashion_labels
lifestyle,foods
lifestyle,people
lifestyle,reality_shows
lifestyle,tv_shows
nature_and_science,animals
nature_and_science,dog_breeds
nature_and_science,scientists
nature_and_science,programming_languages
nature_and_science,celestial_objects
shopping,auto_companies
shopping,automobile_models
shopping,fashion_labels
shopping,retail_companies
shopping,sports_cars
sports,athletes
sports,baseball_players
sports,baseball_teams
sports,basketball_players
sports,basketball_teams
sports,soccer_players
sports,soccer_teams
sports,sports_teams
travel_and_leisure,authors
travel_and_leisure,books
travel_and_leisure,foods
travel_and_leisure,games
travel_and_leisure,fast_food_restaurants
